Category,Headline,Link
vida/mujeres,Haider Ackermann: ‘Algo dentro de mí pertenece a Colombia’, dice el diseñador,https://www.eltiempo.com/vida/mujeres/haider-ackermann-habla-de-su-coleccion-primavera-verano-2023-749215
politica/gobierno,La legión extranjera que gravita alrededor del presidente Petro,https://www.eltiempo.com/politica/gobierno/la-legion-extranjera-alrededor-del-presidente-petro-749411
economia/sectores,Cayó Baloto en Envigado: nuevo rico ganó acumulado de $20.000 millones de pesos,https://www.eltiempo.com/economia/sectores/cayo-baloto-en-envigado-gano-acumulado-de-20-000-millones-de-pesos-749502
deportes/futbol-internacional,Dani Alves: se filtra nuevo plan de los abogados para demostrar su inocencia,https://www.eltiempo.com/deportes/futbol-internacional/dani-alves-el-nuevo-plan-de-los-abogados-para-demostrar-su-inocencia-749490
justicia/investigacion,El rosario de decisiones que mantuvieron a ‘la Gata’ fuera de la cárcel,https://www.eltiempo.com/justicia/investigacion/la-gata-rosario-de-decisiones-judiciales-que-la-tuvieron-fuera-de-prision-749410
colombia/otras-ciudades,Nuevo temblor: ocurrió en la noche del sábado en la frontera con Ecuador,https://www.eltiempo.com/colombia/otras-ciudades/nuevo-temblor-ocurrio-en-la-noche-del-sabado-en-la-frontera-con-ecuador-749485
colombia/medellin,Pablo Escobar: la historia de la oscura persecución de mujeres con el Cartel,https://www.eltiempo.com/colombia/medellin/pablo-escobar-mujeres-que-fueron-victimas-del-cartel-de-medellin-749346
bogota,El museo de esculturas que se construye 180 metros bajo tierra,https://www.eltiempo.com/bogota/el-museo-de-esculturas-que-se-construye-180-metros-bajo-tierra-749453
justicia/investigacion,El rosario de decisiones que mantuvieron a ‘la Gata’ fuera de la cárcel,https://www.eltiempo.com/justicia/investigacion/la-gata-rosario-de-decisiones-judiciales-que-la-tuvieron-fuera-de-prision-749410
lecturas-dominicales,Reescribir a Roald Dahl: indignados y ofendidos,https://www.eltiempo.com/lecturas-dominicales/la-polemica-por-rescribir-las-obras-de-roald-dahl-indignados-y-ofendidos-749219
cultura/gastronomia,Gastronomía mujer / El condimentario,https://www.eltiempo.com/cultura/gastronomia/columna-de-margarita-bernal-mujeres-empresarias-749314
economia/sectores,Fin de las EPS como las conocemos también está en el Plan de Desarrollo,https://www.eltiempo.com/economia/sectores/fin-de-las-eps-como-las-conocemos-tambien-esta-en-el-plan-de-desarrollo-749271
salud,Sexo adolescente en un mundo virtual / Sexo con Esther,https://www.eltiempo.com/salud/sexo-adolescente-en-un-mundo-virtual-columna-de-esther-balac-749111
mundo/latinoamerica,¿Por qué Chile dejó de ser el 'paraíso de la seguridad' que fue años atrás?,https://www.eltiempo.com/mundo/latinoamerica/chile-por-que-la-inseguridad-y-la-criminalidad-han-aumentado-749238
lecturas-dominicales,La bala que marcó la vida de Paul Auster,https://www.eltiempo.com/lecturas-dominicales/la-bala-que-marco-la-vida-de-paul-auster-fragmento-de-su-nuevo-libro-749273
deportes/futbol-internacional,'Desde ahora ficho yo' (Último tango, opinión),https://www.eltiempo.com/deportes/futbol-internacional/psg-criticas-a-su-politica-de-fichajes-y-a-su-fracaso-opina-jorge-barraza-749380
salud,Sexo adolescente en un mundo virtual / Sexo con Esther,https://www.eltiempo.com/salud/sexo-adolescente-en-un-mundo-virtual-columna-de-esther-balac-749111
mundo/latinoamerica,¿Por qué Chile dejó de ser el 'paraíso de la seguridad' que fue años atrás?,https://www.eltiempo.com/mundo/latinoamerica/chile-por-que-la-inseguridad-y-la-criminalidad-han-aumentado-749238
lecturas-dominicales,La bala que marcó la vida de Paul Auster,https://www.eltiempo.com/lecturas-dominicales/la-bala-que-marco-la-vida-de-paul-auster-fragmento-de-su-nuevo-libro-749273
deportes/futbol-internacional,'Desde ahora ficho yo' (Último tango, opinión),https://www.eltiempo.com/deportes/futbol-internacional/psg-criticas-a-su-politica-de-fichajes-y-a-su-fracaso-opina-jorge-barraza-749380
